subID,CTB1,CTB2,CTB3,CTB4,CTB5,CTB6,CTB7,CTB8,CTB9,CTB10,CTB11,CTB12,CTB13,CTB14,CTB15,CTB16,CTB17,CTB18,CTB19,CTB20,CTB21,CTB22,CTB23,CTB24,SES1,SES2,P_Q1TP,P_Q2RCS,P_Q3RTP,P_Q4RCS,P_Q5CS,P_Q6RMF,P_Q7TP,P_Q8CS,P_Q9MF,P_Q10RMF,P_Q11RTP,P_Q12RCS,P_Q13RMF,P_Q14TP,P_Q15CS,P_Q16MF,P_Q17CS,P_Q18RCS,P_Q19MF,P_Q20RTP,P_Q21RCS,P_Q22RMF,P_Q23TP,P_Q24MF,P_QR25TP,P_Q26CS,P_Q27MF,P_Q28TP,P_Q29RMF,P_Q30RTP,BFI1,BFI2,BFI3,BFI4,BFI5,HP1,BFI6,BFI7,BFI8,BFI9,BFI10,HP2,BFI11,BFI12,BFI13,BFI14,BFI15,HP3,BFI16,BFI17,BFI18,BFI19,BFI20,HP4,BFI21,BFI22,BFI23,BFI24,BFI25,HP5,BFI26,BFI27,BFI28,BFI29,BFI30,HP6,BFI31,BFI32,BFI33,BFI34,BFI35,HP7,BFI36,BFI37,BFI38,BFI39,BFI40,HP8,BFI41,BFI42,BFI43,BFI44,BIS1,BIS2,BIS3,BIS4,BIS5,BIS6,BIS7,BIS8,BIS9,BIS10,BIS11,BIS12,BIS13,BIS14,BIS15,BIS16,BIS17,BIS18,BIS19,BIS20,BIS21,BIS22,BIS23,BIS24,BIS25,BIS26,BIS27,BIS28,BIS29,BIS30,Age
11,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,2,"$130,000-$139,999",5,1,1,1,4,2,5,5,5,2,1,4,1,4,4,4,5,1,5,1,1,1,5,5,2,5,5,5,1,1,4,2,5,3,3,4,4,5,1,4,5,1,4,1,5,4,4,1,4,4,1,4,3,1,4,5,2,4,4,1,4,1,5,4,5,5,4,5,5,4,1,5,4,2,5,1,4,4,1,4,1,4,4,1,2,2,1,2,4,3,3,4,1,4,4,2,3,1,2,2,2,4,2,2,1,2,2,2,2,1,2,4,54
12,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,1,5,5,6,6,6,3,"$30,000 - $39,999",4,2,2,1,3,4,2,3,3,4,2,2,4,2,2,2,4,1,4,3,4,4,3,4,2,3,4,4,2,1,1,4,4,5,2,1,5,2,4,1,4,1,1,1,4,5,2,4,1,4,2,5,4,2,5,4,4,1,2,2,1,5,2,5,4,4,5,4,2,1,5,5,1,2,2,5,2,5,4,3,4,1,3,2,2,1,3,3,2,2,1,1,2,2,1,1,1,1,1,2,1,1,1,2,3,1,2,3,2,2,1,2,36
13,1,1,6,6,6,6,1,1,6,6,6,6,1,1,1,6,6,6,1,1,6,6,6,6,2,"$70,000 - $79,999",5,4,4,4,4,2,4,4,5,4,2,2,2,4,4,4,4,5,4,2,3,2,4,4,4,3,4,4,2,2,4,1,5,4,4,4,5,4,3,4,5,1,1,1,5,5,4,1,4,5,4,4,5,1,4,5,4,2,2,1,4,2,5,5,4,5,4,5,4,4,5,5,4,1,5,4,4,5,5,5,4,1,3,1,3,2,2,2,3,3,3,4,2,3,2,2,1,1,2,2,2,3,1,1,2,1,1,1,2,3,1,3,80
14,4,4,3,3,3,3,4,4,3,3,3,6,4,4,3,3,3,6,4,4,4,6,6,6,2,"$30,000 - $39,999",4,4,4,2,2,4,3,3,2,4,2,4,4,3,3,2,3,2,3,4,4,2,4,2,2,4,2,4,2,2,5,2,4,2,4,2,1,4,3,2,4,1,4,1,4,4,3,2,4,4,4,5,5,3,2,4,4,4,4,3,1,2,3,4,5,4,2,4,4,3,3,5,5,2,4,3,4,5,1,4,4,4,2,2,3,4,1,3,3,1,2,2,3,2,1,2,1,2,2,2,2,3,1,2,1,1,2,2,3,2,2,2,25
15,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,6,1,1,1,1,6,6,2,"$90,000 - $99,999",5,1,4,3,4,2,5,3,3,1,4,2,1,2,4,4,3,2,5,2,1,1,4,3,4,3,4,3,1,5,1,1,5,1,3,1,4,5,1,5,2,1,4,1,5,1,3,1,3,5,1,2,3,1,5,5,1,5,2,1,1,1,5,1,4,5,4,5,5,4,3,5,5,1,5,2,2,5,3,5,2,1,3,1,2,4,1,1,3,4,3,4,1,4,4,1,1,1,2,1,2,4,1,2,2,1,1,1,4,1,4,2,71
16,1,1,1,6,6,6,1,1,6,6,6,6,1,1,6,6,6,6,1,1,6,6,6,6,3,"$70,000 - $79,999",5,1,3,2,3,2,4,4,4,2,2,1,4,4,4,4,4,2,4,3,2,2,4,3,2,3,4,4,1,2,3,2,3,2,4,1,5,5,2,4,4,1,2,1,5,4,1,1,2,5,2,4,4,1,4,5,4,3,2,1,2,2,4,4,4,5,4,5,4,4,4,5,3,1,4,3,2,5,1,4,2,3,4,2,3,2,1,2,3,3,3,1,2,3,2,2,1,1,1,2,1,2,2,1,3,2,1,3,3,2,1,2,30
17,1,1,1,1,6,6,1,1,6,6,6,6,1,1,1,6,6,6,1,1,1,6,6,6,1,"$40,000 - $49,999",4,1,3,2,4,3,3,3,3,3,4,2,2,1,3,3,3,2,4,2,2,3,3,3,4,3,3,3,3,3,2,1,5,1,2,2,5,4,1,3,4,2,2,1,5,4,3,2,2,4,1,2,1,1,5,5,2,4,2,1,2,4,5,4,1,4,5,4,5,4,5,4,2,2,5,2,1,5,4,4,2,2,4,1,3,2,1,2,4,4,4,1,3,4,4,1,3,1,2,2,2,4,1,1,2,1,2,2,4,3,1,1,56
18,6,3,1,1,2,3,1,6,1,3,3,4,4,6,1,3,3,5,1,2,3,5,3,6,4,"$70,000 - $79,999",4,3,4,2,4,3,4,4,4,3,2,3,2,4,4,4,3,2,4,2,3,3,4,3,2,3,4,3,2,2,2,2,4,3,3,1,4,4,2,3,3,1,2,2,5,3,3,1,3,3,1,4,3,1,4,5,2,3,2,1,1,2,4,2,3,5,4,4,5,4,5,5,3,1,4,4,3,4,2,5,2,1,4,1,2,2,1,1,4,4,4,4,2,3,3,1,3,1,1,2,1,3,1,1,2,1,2,1,2,2,4,3,46
19,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,3,"$20,000 - $29,999",4,3,4,3,4,2,3,4,4,4,4,4,4,3,4,2,4,4,4,3,3,3,3,4,2,4,3,4,2,2,5,2,5,5,4,3,2,5,4,3,5,4,1,1,3,4,5,1,3,5,3,4,5,3,2,4,5,2,4,4,2,2,2,4,4,4,2,5,2,4,3,2,4,3,2,4,4,4,4,4,4,1,2,2,2,2,2,3,1,3,3,1,3,2,1,1,2,1,2,2,3,1,2,3,1,3,3,3,4,3,3,1,44
20,1,1,1,1,1,6,1,1,1,2,6,6,1,1,1,3,3,6,1,1,1,2,6,6,1,"$60,000 - $69,999",5,2,3,2,4,3,4,4,4,2,3,2,2,4,4,4,4,2,4,3,2,2,3,3,3,3,3,3,2,4,2,4,5,2,4,2,4,4,1,3,4,1,2,1,5,4,4,1,3,3,1,2,2,1,4,4,1,4,4,1,4,2,5,2,2,5,4,4,5,3,2,4,2,2,5,2,3,4,4,4,2,1,4,1,3,2,1,2,4,4,4,4,1,4,4,1,2,1,2,2,1,4,1,2,2,1,1,1,3,1,4,2,77
21,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,1,1,6,6,6,6,2,"$40,000 - $49,999",5,1,5,3,5,1,5,5,3,1,3,1,1,5,5,5,5,3,5,1,1,1,5,5,3,4,5,5,3,1,2,1,5,1,5,1,5,5,3,5,3,1,3,1,5,1,5,1,3,5,1,1,3,1,5,4,1,5,3,1,3,1,5,1,3,5,4,5,5,5,4,5,5,1,5,1,3,5,3,5,1,3,4,1,2,4,1,1,4,4,4,4,1,4,4,1,2,1,1,1,1,4,1,2,2,1,1,1,2,1,2,4,54
22,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,4,"$70,000 - $79,999",4,2,3,4,2,4,4,2,4,4,3,4,3,3,4,2,4,2,3,4,4,3,3,4,3,2,4,4,4,4,2,4,4,4,4,1,5,4,2,2,4,2,1,2,4,4,3,2,2,2,4,5,4,2,5,1,2,2,4,1,1,4,2,4,4,4,5,4,4,4,4,4,2,2,4,4,4,5,2,4,5,4,2,2,2,2,3,3,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30
23,6,6,6,6,6,6,1,6,6,6,6,6,1,1,1,1,2,6,1,1,1,5,6,6,4,"$190,000-$199,999",4,3,5,4,3,4,2,4,3,4,2,3,3,2,3,2,3,4,3,4,2,3,3,3,4,2,2,2,3,3,4,1,3,4,3,3,4,5,4,3,4,4,2,1,5,3,4,1,3,5,4,4,3,1,4,5,3,4,2,1,3,1,4,4,3,4,4,5,3,3,4,4,3,1,3,4,3,4,3,5,4,2,2,3,3,3,2,3,3,2,2,2,1,3,1,2,2,1,3,2,3,2,1,4,2,1,3,3,3,1,3,2,51
24,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,2,"$70,000 - $79,999",5,3,3,2,4,3,4,5,4,4,4,2,3,4,4,3,4,3,4,2,3,2,4,3,3,5,3,5,2,3,1,2,3,3,4,3,5,3,3,1,5,3,2,1,3,5,3,2,3,4,3,5,5,1,5,3,4,2,3,2,3,2,4,5,3,5,5,4,3,4,3,5,2,3,4,5,3,4,1,3,3,4,3,2,2,1,2,2,3,2,2,1,2,3,3,2,3,2,2,1,2,3,2,3,3,1,2,3,2,2,2,3,58
25,1,5,4,3,2,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,"Less than $10,000",4,3,4,4,4,4,4,3,3,4,3,3,3,3,4,3,3,4,3,3,3,3,3,5,3,4,4,3,4,3,2,3,3,4,3,3,4,3,3,3,4,4,2,1,4,4,4,1,3,5,4,1,1,3,5,5,3,3,4,3,3,4,4,3,4,4,3,3,4,4,4,3,4,3,3,4,4,4,4,4,2,4,2,2,2,2,2,2,2,2,2,2,1,3,2,3,2,1,3,3,1,2,2,2,2,3,2,2,2,2,2,2,41
26,1,1,1,1,1,1,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,"$50,000 - $59,999",5,2,3,3,4,3,4,4,4,3,2,2,3,3,4,4,4,3,5,2,2,2,4,4,3,4,4,4,3,2,4,4,5,2,4,3,4,4,4,4,5,4,4,3,5,3,4,2,4,5,3,3,4,3,4,5,3,4,4,3,5,4,4,4,3,4,3,4,4,5,3,4,5,4,4,2,3,3,2,4,3,3,3,3,3,3,2,3,4,3,3,3,2,4,4,3,2,1,2,2,2,3,1,2,2,2,2,1,2,2,3,3,78
27,6,6,6,6,6,6,1,1,3,6,6,6,1,1,3,6,6,6,1,1,3,6,6,6,6,"$180,000-$189,999",4,2,3,3,4,4,4,4,4,3,2,2,2,4,4,3,4,2,3,2,3,2,3,4,2,4,4,4,2,2,2,2,4,2,3,2,5,4,2,4,4,1,2,1,4,2,4,1,3,4,2,2,3,1,5,4,3,5,4,2,2,3,3,2,2,4,5,4,4,4,3,4,1,3,4,2,4,4,4,4,3,1,3,2,2,3,2,2,4,3,3,2,3,3,3,1,2,1,2,1,2,3,1,2,2,1,1,2,2,3,4,3,43
28,6,6,6,6,6,6,4,6,5,6,6,6,5,5,5,5,6,6,1,5,5,6,6,6,3,"$30,000 - $39,999",3,2,4,3,4,4,3,4,3,4,4,3,2,4,3,2,4,3,4,3,2,2,3,2,3,4,4,2,3,4,2,2,4,2,3,2,5,4,3,2,4,2,3,2,5,4,3,3,3,5,3,3,3,1,5,4,4,2,3,2,1,3,4,4,4,5,5,4,4,2,4,4,1,2,4,5,4,5,4,4,4,2,3,2,2,2,2,2,1,2,2,1,1,3,1,2,1,1,1,4,1,2,1,1,2,1,1,2,3,1,2,2,58
29,6,6,6,6,6,6,1,5,5,6,6,6,1,1,6,5,6,6,1,1,6,6,5,6,2,"$60,000 - $69,999",4,2,4,1,4,2,4,4,4,2,3,2,2,4,4,4,4,2,4,2,2,3,3,4,3,4,4,3,2,3,5,2,5,1,4,2,2,4,2,4,5,1,2,1,5,2,4,2,3,4,2,2,4,1,2,4,1,5,4,1,4,1,4,2,4,5,2,4,4,4,3,5,5,2,4,2,3,4,1,4,2,3,3,2,2,2,1,2,3,3,3,4,1,3,3,1,3,1,1,1,2,4,1,1,1,2,1,1,2,1,4,3,47
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Less than $10,000",5,1,5,5,5,1,5,5,5,1,1,2,2,4,5,5,5,1,5,1,1,1,4,4,4,4,4,4,1,1,2,2,5,1,4,1,4,5,1,5,5,1,5,1,5,1,4,1,4,4,1,1,1,1,5,5,1,5,3,1,3,1,5,4,4,5,1,5,5,5,5,5,5,1,5,1,5,5,3,5,1,4,3,1,3,3,1,2,3,3,3,3,1,3,3,1,3,1,1,1,1,3,1,1,1,1,1,1,3,1,3,3,21
31,1,1,6,6,1,6,1,1,1,6,6,6,1,6,1,6,1,6,1,1,3,1,1,1,1,"$20,000 - $29,999",4,4,5,4,4,4,4,4,4,4,2,2,4,3,4,2,4,3,2,2,4,2,4,4,3,4,3,4,4,2,5,3,5,4,5,3,2,5,1,2,4,2,2,1,5,4,5,1,4,5,4,4,4,1,4,4,2,2,4,1,5,4,5,4,4,5,4,5,5,4,3,5,5,3,5,4,4,1,5,5,4,5,4,2,3,3,1,2,4,4,3,1,1,4,3,1,3,1,2,2,3,4,2,3,3,2,3,3,2,1,4,3,71
32,2,4,2,4,3,3,4,4,2,2,5,2,2,2,5,2,5,3,5,2,5,3,2,5,5,"$20,000 - $29,999",3,4,5,3,4,2,3,3,4,2,3,4,2,3,4,4,2,4,3,4,3,3,4,4,2,4,4,4,3,2,3,2,4,3,3,4,3,3,4,4,3,4,4,4,2,3,2,4,2,3,2,3,4,3,4,2,4,2,3,4,3,3,2,3,2,4,2,4,4,2,3,3,4,2,4,2,3,3,3,2,4,3,4,3,3,4,3,4,2,3,4,4,3,3,4,4,3,4,2,3,4,3,2,3,3,3,2,3,3,4,2,3,35
33,1,1,1,6,6,6,1,1,1,6,6,6,1,1,1,6,6,6,1,1,3,4,3,6,1,"$10,000 - $19,999",5,4,3,3,4,4,4,3,4,3,2,2,3,3,3,2,4,2,2,3,3,3,3,4,4,2,1,3,2,4,4,4,5,1,3,1,3,5,2,3,4,1,4,1,5,2,4,1,3,1,2,4,3,1,3,4,2,5,4,1,3,1,4,3,5,5,4,4,5,3,4,5,4,1,3,2,4,5,1,4,3,3,3,2,3,3,1,2,3,4,4,1,3,4,3,1,1,2,1,3,1,3,1,3,2,1,3,2,3,4,4,1,72
34,6,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,"$20,000 - $29,999",4,2,4,2,3,4,3,4,4,4,4,4,4,2,2,4,4,4,2,2,2,3,4,3,5,4,4,4,4,4,1,2,5,1,4,1,5,4,1,4,2,4,1,1,2,4,4,4,4,5,2,4,2,3,5,5,4,5,2,1,4,4,2,1,4,4,5,4,4,5,5,5,1,1,4,3,4,4,4,4,1,2,2,3,3,2,2,1,3,4,4,2,1,3,1,1,2,1,2,2,2,3,1,1,4,1,1,2,3,1,2,1,70
35,3,3,3,3,3,6,5,2,3,5,6,6,3,3,3,3,3,6,3,3,3,6,6,6,3,"$20,000 - $29,999",4,3,4,2,4,2,4,4,4,2,2,1,3,4,4,2,4,2,3,2,2,2,3,4,2,4,4,4,2,2,2,4,4,3,4,2,4,4,3,4,4,2,4,4,4,4,4,3,2,4,3,4,4,3,4,4,4,4,4,2,2,2,4,3,4,5,4,4,4,4,4,4,3,2,3,2,3,4,2,4,2,2,3,2,2,3,2,1,4,3,3,1,1,4,1,3,3,1,2,1,2,3,1,2,1,1,2,1,1,1,4,3,63
36,1,6,6,6,6,6,1,1,6,6,6,6,1,1,6,6,6,6,1,1,1,6,6,6,2,"$60,000 - $69,999",5,1,2,2,5,2,4,5,5,1,1,3,2,5,5,5,5,3,5,1,1,1,4,5,2,4,4,3,2,1,3,4,5,4,4,3,3,4,1,4,5,1,2,1,5,3,3,1,4,3,4,5,4,1,3,2,2,3,4,2,4,3,4,4,5,5,3,4,5,4,3,4,4,3,5,3,4,2,5,4,3,5,4,1,2,2,1,2,4,4,4,4,2,4,4,1,3,2,1,1,2,4,1,1,2,1,1,2,1,2,3,4,29
37,5,1,1,2,3,4,3,3,2,2,3,2,1,1,3,2,1,2,2,1,3,3,2,1,2,"Less than $10,000",4,3,3,4,2,4,2,4,3,5,2,3,4,2,2,1,3,3,2,5,4,4,4,2,3,3,3,2,2,4,1,2,4,4,2,1,3,4,1,1,4,1,1,1,3,4,3,1,2,3,3,4,2,3,4,5,1,3,3,3,3,2,2,4,2,5,4,4,4,2,3,4,2,3,3,3,2,4,5,3,5,2,3,1,2,1,2,2,3,4,2,1,1,3,1,2,2,1,2,3,2,2,2,2,4,3,2,1,3,3,2,1,42
38,6,6,6,6,6,6,5,6,6,6,6,6,4,6,6,6,6,6,4,6,5,5,6,6,1,"$10,000 - $19,999",5,2,1,3,4,2,4,4,4,3,1,2,2,5,5,4,4,2,5,2,3,3,5,5,2,5,4,2,1,2,3,1,5,1,4,1,5,5,1,3,5,4,3,1,5,2,5,1,3,5,1,3,4,1,3,3,1,5,4,1,1,3,4,1,3,5,5,5,5,3,3,4,3,1,4,3,4,5,2,4,2,1,3,3,2,3,2,2,3,3,3,2,2,3,2,2,2,2,2,2,2,3,1,1,2,3,2,2,2,2,2,3,66
39,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,6,1,"$10,000 - $19,999",5,3,3,3,4,3,4,4,3,3,4,2,2,3,4,3,3,3,3,3,2,2,2,4,3,4,3,3,2,3,3,1,5,1,3,2,4,4,2,4,4,4,3,1,5,3,3,1,3,4,1,1,3,1,4,5,2,5,3,1,3,4,4,2,4,3,4,4,4,4,3,3,3,1,5,1,4,5,2,4,2,2,2,1,2,3,1,1,3,3,3,2,1,3,2,1,2,1,1,1,2,3,1,1,2,1,1,1,2,1,2,2,69
40,1,1,1,6,6,6,1,1,1,6,6,6,1,1,1,6,6,6,1,1,1,1,1,6,2,"$50,000 - $59,999",5,3,2,2,5,3,4,5,5,2,2,3,2,4,4,5,5,2,5,1,4,2,5,4,2,5,5,4,3,2,2,4,5,4,5,1,5,3,1,2,5,1,1,1,5,4,5,1,2,2,1,4,4,1,5,2,1,4,5,1,1,4,5,4,3,1,1,4,5,4,3,5,2,1,5,3,5,4,4,3,2,5,4,1,2,1,1,2,4,4,3,2,2,4,2,1,4,1,1,2,2,4,1,1,1,1,2,2,2,4,3,3,70
41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,"$90,000 - $99,999",5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,5,5,2,5,1,1,1,5,5,4,4,5,4,1,1,5,3,5,1,5,1,4,5,1,5,5,1,4,1,5,4,4,1,5,2,1,4,4,1,4,5,1,5,4,1,4,1,5,2,5,5,4,5,5,5,5,5,5,1,5,2,5,5,1,5,1,5,4,1,2,3,1,1,4,4,4,4,1,4,4,1,2,1,1,2,1,4,1,1,1,2,1,1,2,1,2,4,50
42,3,3,3,3,3,3,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,"$100,000 - $109,999",4,2,4,4,4,2,4,4,4,1,1,3,2,5,4,3,4,2,4,2,3,2,4,4,3,3,3,3,2,1,4,2,5,2,3,3,2,4,2,3,4,2,4,2,4,3,3,3,4,3,2,2,3,2,2,3,2,3,3,2,3,3,4,4,4,4,2,3,4,3,4,4,4,3,4,3,3,3,3,3,3,3,2,1,3,2,1,2,3,3,2,2,1,2,3,2,2,1,2,1,2,3,1,2,1,1,2,1,3,1,2,3,21
